2019/09/10 17:08:02 [error] 9#9: *12 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:02 [error] 9#9: *14 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:02 [error] 9#9: *16 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *18 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *20 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *23 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *24 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *28 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *27 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *29 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *32 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *34 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *36 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *38 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *40 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *42 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *44 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *46 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *48 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *50 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *52 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *54 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *56 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *58 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *60 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *62 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *64 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *66 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *68 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *70 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *72 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *74 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *76 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *78 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *80 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *82 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *84 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *86 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *88 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *90 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *92 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *94 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *96 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *98 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *100 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *102 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *104 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *106 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
2019/09/10 17:08:03 [error] 9#9: *108 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: es.xyz, request: "POST /api/skillorder HTTP/1.1", upstream: "http://172.21.0.5:9501/api/skillorder", host: "es.xyz"
